,id,first_name,last_name,team_id
0,3,Steven,Adams,11
1,4,Bam,Adebayo,16
2,8,Grayson,Allen,24
3,9,Jarrett,Allen,6
4,12,Kyle,Anderson,18
5,15,Giannis,Antetokounmpo,17
6,18,OG,Anunoby,20
7,22,Deandre,Ayton,14
8,24,Marvin,Bagley III,7
9,30,Harrison,Barnes,27
10,33,Nicolas,Batum,13
11,37,Bradley,Beal,13
12,48,Bismack,Biyombo,27
13,53,Bogdan,Bogdanovic,13
14,57,Devin,Booker,24
15,60,Tony,Bradley,1
16,61,Mikal,Bridges,20
17,62,Miles,Bridges,4
18,66,Dillon,Brooks,24
19,69,Bruce,Brown,8
20,70,Jaylen,Brown,2
21,73,Jalen,Brunson,20
22,74,Thomas,Bryant,6
23,79,Jimmy,Butler,10
24,81,Kentavious,Caldwell-Pope,15
25,83,Clint,Capela,11
26,85,Wendell,Carter Jr.,22
27,87,Jevon,Carter,22
28,89,Alex,Caruso,21
29,100,Jordan,Clarkson,20
30,101,John,Collins,13
31,102,Zach,Collins,5
32,104,Mike,Conley,18
33,105,Pat,Connaughton,4
34,114,Seth,Curry,10
35,115,Stephen,Curry,10
36,117,Anthony,Davis,30
37,125,DeMar,DeRozan,26
38,131,Donte,DiVincenzo,18
39,132,Luka,Doncic,14
40,137,Andre,Drummond,23
41,139,Kris,Dunn,13
42,140,Kevin,Durant,11
43,145,Joel,Embiid,23
44,147,Drew,Eubanks,26
45,158,Dorian,Finney-Smith,11
46,161,De'Aaron,Fox,27
47,172,Paul,George,23
48,173,Taj,Gibson,15
49,175,Shai,Gilgeous-Alexander,21
50,176,Rudy,Gobert,18
51,177,Aaron,Gordon,8
52,182,Jerami,Grant,25
53,185,Draymond,Green,10
54,188,Jeff,Green,11
55,191,Tim,Hardaway Jr.,8
56,192,James,Harden,6
57,196,Gary,Harris,17
58,200,Tobias,Harris,9
59,201,Isaiah,Hartenstein,21
60,202,Josh,Hart,20
61,210,Buddy,Hield,1
62,213,Aaron,Holiday,11
63,214,Jrue,Holiday,25
64,219,Al,Horford,10
65,221,Kevin,Huerter,9
66,226,Joe,Ingles,18
67,227,Brandon,Ingram,28
68,228,Kyrie,Irving,7
69,229,Jonathan,Isaac,22
70,231,Jaren,Jackson Jr.,29
71,237,LeBron,James,14
72,246,Nikola,Jokic,8
73,247,Derrick,Jones Jr.,13
74,249,Tyus,Jones,8
75,250,DeAndre,Jordan,19
76,254,Luke,Kennard,14
77,257,Maxi,Kleber,14
78,261,Luke,Kornet,27
79,265,Kyle,Kuzma,17
80,268,Zach,LaVine,26
81,274,Kawhi,Leonard,13
82,277,Caris,LeVert,9
83,278,Damian,Lillard,25
84,282,Kevon,Looney,19
85,283,Brook,Lopez,13
86,285,Kevin,Love,29
87,286,Kyle,Lowry,23
88,297,Lauri,Markkanen,29
89,303,CJ,McCollum,1
90,304,T.J.,McConnell,12
91,305,Doug,McDermott,26
92,313,De'Anthony,Melton,10
93,315,Khris,Middleton,7
94,322,Donovan,Mitchell,6
95,324,Malik,Monk,26
96,334,Dejounte,Murray,19
97,335,Jamal,Murray,8
98,338,Svi,Mykhailiuk,29
99,340,Larry,Nance Jr.,6
100,349,Jusuf,Nurkic,29
101,351,Royce,O'Neale,24
102,356,Josh,Okogie,11
103,358,Kelly,Olynyk,27
104,360,Kelly,Oubre Jr.,23
105,371,Mason,Plumlee,27
106,373,Jakob,Poeltl,28
107,375,Michael,Porter Jr.,3
108,377,Bobby,Portis,17
109,378,Kristaps,Porzingis,10
110,379,Dwight,Powell,7
111,380,Norman,Powell,16
112,383,Taurean,Prince,17
113,387,Julius,Randle,18
114,397,Duncan,Robinson,9
115,399,Mitchell,Robinson,20
116,405,D'Angelo,Russell,30
117,406,Domantas,Sabonis,26
118,409,Dennis,Schroder,6
119,413,Collin,Sexton,5
120,414,Landry,Shamet,20
121,416,Pascal,Siakam,12
122,419,Anfernee,Simons,5
123,420,Marcus,Smart,14
124,434,Jayson,Tatum,2
125,436,Garrett,Temple,28
126,443,Klay,Thompson,7
127,447,Karl-Anthony,Towns,20
128,452,Myles,Turner,17
129,455,Jonas,Valanciunas,8
130,457,Jarred,Vanderbilt,14
131,458,Fred,VanVleet,11
132,460,Nikola,Vucevic,2
133,462,Moritz,Wagner,22
134,472,Russell,Westbrook,26
135,473,Derrick,White,2
136,475,Andrew,Wiggins,16
137,476,Robert,Williams III,25
138,480,Kenrich,Williams,21
139,488,Guerschon,Yabusele,5
140,490,Trae,Young,30
141,493,Ivica,Zubac,12
142,2148,Thanasis,Antetokounmpo,17
143,2189,Gary,Payton II,10
144,3089,Gary,Trent Jr.,17
145,3092,Haywood,Highsmith,24
146,666400,Nickeil,Alexander-Walker,1
147,666423,RJ,Barrett,28
148,666442,Goga,Bitadze,22
149,666505,Brandon,Clarke,15
150,666508,Nicolas,Claxton,3
151,666511,Amir,Coffey,24
152,666541,Luguentz,Dort,21
153,666577,Daniel,Gafford,7
154,666581,Darius,Garland,13
155,666604,Javonte,Green,9
156,666609,Rui,Hachimura,14
157,666626,Jaxson,Hayes,14
158,666633,Tyler,Herro,16
159,666656,De'Andre,Hunter,26
160,666676,Ty,Jerome,15
161,666679,Cameron,Johnson,8
162,666682,Keldon,Johnson,27
163,666703,John,Konchar,29
164,666743,Terance,Mann,3
165,666747,Caleb,Martin,7
166,666767,Jordan,McLaughlin,27
167,666786,Ja,Morant,15
168,666848,Jordan,Poole,19
169,666849,Kevin,Porter Jr.,17
170,666908,Max,Strus,6
171,666923,Matisse,Thybulle,25
172,666940,Dean,Wade,6
173,666950,P.J.,Washington,7
174,666956,Coby,White,4
175,666965,Grant,Williams,4
176,666969,Zion,Williamson,19
177,667378,Naz,Reid,18
178,1603383,Gabe,Vincent,1
179,3547238,Anthony,Edwards,18
180,3547239,LaMelo,Ball,4
181,3547241,Killian,Hayes,26
182,3547242,Deni,Avdija,25
183,3547243,Obi,Toppin,12
184,3547244,Onyeka,Okongwu,1
185,3547245,Tyrese,Haliburton,12
186,3547246,Devin,Vassell,27
187,3547247,Isaac,Okoro,5
188,3547248,Patrick,Williams,5
189,3547249,Precious,Achiuwa,26
190,3547250,Aaron,Nesmith,12
191,3547254,Tyrese,Maxey,23
192,3547256,Saddiq,Bey,19
193,3547258,Josh,Green,4
194,3547259,Jaden,McDaniels,18
195,3547264,Jalen,Smith,5
196,3547267,Isaiah,Stewart,9
197,3547268,Zeke,Nnaji,8
198,3547269,Immanuel,Quickley,28
199,3547270,Paul,Reed,9
200,3547272,Isaiah,Joe,21
201,3547274,Tre,Jones,5
202,3547276,Payton,Pritchard,2
203,3547282,Nick,Richards,5
204,3547285,Xavier,Tillman,4
205,3547287,Desmond,Bane,22
206,3547293,Naji,Marshall,7
207,3547299,Sam,Merrill,6
208,3547301,Jae'Sean,Tate,11
209,3547302,Anthony,Gill,30
210,4197387,Vit,Krejci,25
211,17553967,Neemias,Queta,2
212,17553979,Jonathan,Kuminga,1
213,17553992,Moses,Moody,10
214,17553994,Davion,Mitchell,16
215,17553995,Austin,Reaves,14
216,17554004,AJ,Lawson,28
217,17554005,Mac,McClung,5
218,17895854,Charles,Bassey,10
219,17895858,Quentin,Grimes,23
220,17895966,Jalen,Green,24
221,17895983,Ayo,Dosunmu,18
222,17896024,Herbert,Jones,19
223,17896026,Franz,Wagner,22
224,17896027,Ziaire,Williams,3
225,17896029,Sharife,Cooper,30
226,17896031,Nah'Shon,Hyland,18
227,17896033,Miles,McBride,20
228,17896035,Isaiah,Jackson,13
229,17896036,Tre,Mann,4
230,17896038,Day'Ron,Sharpe,3
231,17896039,Justin,Champagnie,30
232,17896040,Jalen,Johnson,1
233,17896045,Corey,Kispert,1
234,17896055,Scottie,Barnes,28
235,17896056,Luka,Garza,2
236,17896058,Trendon,Watford,23
237,17896059,Sandro,Mamukelashvili,28
238,17896060,Sam,Hauser,2
239,17896062,Alperen,Sengun,11
240,17896063,Jericho,Sims,17
241,17896065,Josh,Giddey,5
242,17896067,Santi,Aldama,15
243,17896071,Isaiah,Livers,24
244,17896073,Jalen,Suggs,22
245,17896075,Cade,Cunningham,9
246,17896076,Evan,Mobley,6
247,17896078,Aaron,Wiggins,21
248,17896094,Dalano,Banton,2
249,17896097,Jose,Alvarado,20
250,17896103,Jay,Huff,12
251,17896117,Ethan,Thompson,12
252,18677986,Trey,Murphy III,19
253,18678058,Jordan,Goodwin,24
254,19465326,Jock,Landale,1
255,19465584,Micah,Potter,12
256,19465585,Dru,Smith,16
257,24489167,Brandon,Williams,7
258,24572055,Olivier,Sarr,6
259,27924547,Lindy,Waters III,27
260,38017507,Andrew,Nembhard,12
261,38017620,Ochai,Agbaji,3
262,38017649,Julian,Champagnie,27
263,38017656,Scotty,Pippen Jr.,15
264,38017663,E.J.,Liddell,3
265,38017676,MarJon,Beauchamp,23
266,38017677,Dyson,Daniels,1
267,38017679,Jaden,Hardy,30
268,38017683,Paolo,Banchero,22
269,38017684,Jabari,Smith Jr.,11
270,38017685,Chet,Holmgren,21
271,38017686,Bennedict,Mathurin,13
272,38017688,Keegan,Murray,26
273,38017690,Shaedon,Sharpe,25
274,38017691,TyTy,Washington Jr.,13
